####################################################################################
#SPECIES_SHORT  SPEC_DENS   MOLAR_WEIGHT     T_DES   T_DESA    T_DESB     PART_FILE  
OLIVMRN9        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_9.0_-3.5_DHS_0.8.opac
OLIVMRN10       3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_10.0_-3.5_DHS_0.8.opac
OLIVDHS5MRN3        3.6         172.23           1300.    28030.    12.471     Olivines/a_ol_Jager94_mg0.5_fe0.5_0.01_3.0_-3.5_DHS_0.5.opac
PYROMGMRN01     3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_0.1_-3.5_DHS_0.8.opac
PYROMGDHS5MRN01     3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_0.1_-3.5_DHS_0.5.opac
PYROMGMRN1      3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_1.0_-3.5_DHS_0.8.opac
PYROMGMRN2      3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_2.0_-3.5_DHS_0.8.opac
PYROMGMRN3      3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_3.0_-3.5_DHS_0.8.opac
PYROMGMRN5      3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_5.0_-3.5_DHS_0.8.opac
PYROMGMRN10     3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_10.0_-3.5_DHS_0.8.opac
PYROMGDHS5MRN3      3.2         100.39           1150.    30478.    14.898     Pyroxenes/py_mg0.95_fe0.05_SiO3_0.01_3.0_-3.5_DHS_0.5.opac
PYROMRN01       3.6         116.16           1100.    0         0          Pyroxenes/py_mg0.5_fe0.5_SiO3_0.01_0.1_-3.5_DHS_0.8.opac
PYROMRN1        3.6         116.16           1100.    0         0          Pyroxenes/py_mg0.5_fe0.5_SiO3_0.01_1.0_-3.5_DHS_0.8.opac
PYROMRN2        3.6         116.16           1100.    0         0          Pyroxenes/py_mg0.5_fe0.5_SiO3_0.01_2.0_-3.5_DHS_0.8.opac
PYROMRN5        3.6         116.16           1100.    0         0          Pyroxenes/py_mg0.5_fe0.5_SiO3_0.01_5.0_-3.5_DHS_0.8.opac
PYROMRN10       3.6         116.16           1100.    0         0          Pyroxenes/py_mg0.5_fe0.5_SiO3_0.01_10.0_-3.5_DHS_0.8.opac
OLIVJOA001      3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_0.01_0.03_-3.5.particle
OLIVJOA01       3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_0.1_0.3_-3.5.particle
OLIVJOA1        3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_1.0_3.0_-3.5.particle
OLIVJOA10       3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_10.0_30.0_-3.5.particle
OLIVJOA100      3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_100.0_300.0_-3.5.particle
OLIVJOA1000     3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_1000.0_3000.0_-3.5.particle
OLIVJOA10000    3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_10000.0_30000.0_-3.5.particle
OLIVJOA003      3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_0.03_0.1_-3.5.particle
OLIVJOA03       3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_0.3_1.0_-3.5.particle
OLIVJOA3        3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_3.0_10.0_-3.5.particle
OLIVJOA30       3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_30.0_100.0_-3.5.particle
OLIVJOA300      3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_300.0_1000.0_-3.5.particle
OLIVJOA3000     3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_3000.0_10000.0_-3.5.particle
OLIVJOA30000    3.6         172.23           1300.    28030.    12.471     Silicates_Jonathan/ISMMin07_30000.0_100000.0_-3.5.particle
AL2O3OBS        4.00        101.96           1500.    40720.    18.479     Obsolete/Al2O3.particle
ENSTOBS         2.80        100.39           1000.    0         0          Obsolete/EnstatiteCDE.particle
FORSOBS         3.3         140.69           1150.    26091.    13.418     Obsolete/ForsteriteCDE.particle
FEOBS           7.87        55.8             1400.    21542.    6.6715     Obsolete/FeCDE.particle
SICOBS          3.2         40.1             900.     0         0          Obsolete/SiCCDE.particle
H2OOBS          1.00        18               150.     2827.7    7.7205     Obsolete/CrystWaterIce.particle
OLIVOBS         3.6         172.23           1300.    28030.    12.471     Obsolete/OlivineCDE.opacity
OLIVMGOBS       3.3         140.69           1150.    26091.    13.418     Obsolete/MgOlivineCDE.opacity
PYROMGOBS       3.2         100.39           1150.    30478.    14.898     Obsolete/MgPyroxeneCDE.opacity
PYROOBS         3.6         116.16           1100.    0         0          Obsolete/PyroxeneCDE.opacity
GRAPHOBS        2.2         12               1500.    0         0          Obsolete/GraphiteCDE.particle
ASTROSILOBS     3.58        0                1300.    28030.    12.471     Obsolete/ASTROSIL.opacity
ASTROSILMODOBS  3.58        0                1300.    28030.    12.471     Obsolete/ASTROSIL_MOD.opacity
Mg01Fe09OOBS    5.5         52.7             1100.    0         0          Obsolete/Mg01Fe09O.opacity
Mg03Fe07OOBS    5.1         46.4             1100.    0         0          Obsolete/Mg03Fe07O.opacity
Mg05Fe05OOBS    4.66        40.1             1100.    0         0          Obsolete/Mg05Fe05O.opacity
MIXOBS          2.55        0                1250.    0.0       0.0        Obsolete/MixMRN.particle
MIX10OBS        2.55        0                1250.    0.0       0.0        Obsolete/MixMRN10.particle
MIX100OBS       2.55        0                1250.    0.0       0.0        Obsolete/MixMRN100.particle
